裝置名稱,裝置編號,裝置位置,測量時間,溫度,溫度異常,濕度,濕度異常,溫度補償,濕度補償,電池電量
Dave,170436,機房,"01/15/2022, 18:17:34",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:17:34",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:17:24",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:17:24",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:17:13",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:17:13",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:17:03",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:17:03",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:16:52",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:16:52",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:16:41",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:16:41",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:16:31",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:16:31",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:16:20",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:16:20",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:16:10",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:16:10",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:59",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:59",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:48",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:48",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:38",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:38",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:27",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:27",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:17",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:17",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:15:06",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:15:06",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:55",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:14:55",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:45",-255,異常,-255,異常,0,0,-1%
